,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
3951,Chris Silva,2020,2021,F,6-8,234,"September 19, 1996",South Carolina
3952,Wayne Simien,2006,2007,F,6-9,255,"March 9, 1983",Kansas
3953,Ben Simmons,2018,2021,G-F,6-11,240,"July 20, 1996",LSU
3954,Bobby Simmons,2002,2012,G-F,6-7,210,"June 2, 1980",DePaul
3955,Cedric Simmons,2007,2009,F,6-9,235,"January 3, 1986",NC State
3956,Connie Simmons,1947,1956,C-F,6-8,222,"March 15, 1925",
3957,Grant Simmons,1968,1969,G,6-3,190,"March 7, 1943",Nebraska
3958,Johnny Simmons,1947,1947,G,6-1,184,"July 7, 1924",NYU
3959,Jonathon Simmons,2016,2019,G-F,6-6,195,"September 14, 1989",Houston
3960,Kobi Simmons,2018,2019,G,6-5,166,"July 4, 1997",Arizona
3961,Lionel Simmons,1991,1997,F-G,6-7,210,"November 14, 1968",La Salle
3962,Miles Simon,1999,1999,G,6-3,202,"November 21, 1975",Arizona
3963,Walter Simon,1968,1974,F-G,6-6,200,"December 1, 1939",Benedict College
3964,Anfernee Simons,2019,2021,G,6-3,181,"June 8, 1999",
3965,Dickey Simpkins,1995,2002,F,6-9,248,"April 6, 1972",Providence
3966,Ralph Simpson,1971,1980,G-F,6-5,200,"August 10, 1949",Michigan State
3967,Alvin Sims,1999,1999,G,6-4,235,"October 18, 1974",Louisville
3968,Bob Sims,1962,1968,G-F,6-5,220,"October 9, 1938",Pepperdine
3969,Courtney Sims,2008,2009,C,6-10,245,"October 21, 1983",Michigan
3970,Doug Sims,1969,1969,F,6-7,195,"June 29, 1943",Kent State University
3971,Henry Sims,2013,2016,C,6-10,248,"March 27, 1990",Georgetown
3972,Scott Sims,1978,1978,G,6-1,170,"April 18, 1955",Missouri
3973,Kyle Singler,2013,2018,F,6-8,228,"May 4, 1988",Duke
3974,Sean Singletary,2009,2009,G,6-0,185,"September 6, 1985",Virginia
3975,Chris Singleton,2012,2014,F,6-8,230,"November 21, 1989",Florida State
3976,James Singleton,2006,2012,F,6-8,216,"July 20, 1981",Murray State
3977,McKinley Singleton,1987,1987,G,6-5,175,"October 29, 1961",UAB
3978,Zeke Sinicola,1952,1954,G,5-10,165,"January 25, 1929",Niagara University
3979,Deividas Sirvydis,2021,2021,G-F,6-8,190,"June 10, 2000",
3980,Charlie Sitton,1985,1985,F,6-8,210,"July 3, 1962",Oregon State
3981,Peyton Siva,2014,2014,G,6-0,185,"October 24, 1990",Louisville
3982,Scott Skiles,1987,1996,G,6-1,180,"March 5, 1964",Michigan State
3983,Al Skinner,1975,1980,G,6-3,190,"June 16, 1952",UMass
3984,Brian Skinner,1999,2012,F,6-9,255,"May 19, 1976",Baylor
3985,Tal Skinner,1975,1976,F-G,6-5,195,"September 10, 1952",University of Maryland Eastern Shore
3986,Whitey Skoog,1952,1957,G,5-11,180,"November 2, 1926",Minnesota
3987,Jeff Slade,1963,1963,F,6-6,220,"March 1, 1941",Kenyon College
3988,Reggie Slater,1995,2003,F,6-7,215,"August 27, 1970",Wyoming
3989,Jim Slaughter,1952,1952,C,6-11,210,"May 13, 1928",South Carolina
3990,Jose Slaughter,1983,1983,G,6-5,205,"September 9, 1960",University of Portland
3991,Tamar Slay,2003,2005,G,6-8,215,"April 2, 1980",Marshall
3992,Donald Sloan,2012,2016,G,6-3,205,"January 15, 1988",Texas A&M
3993,Jerry Sloan*,1966,1976,G-F,6-5,195,"March 28, 1942",University of Evansville
3994,Uroš Slokar,2007,2007,F,6-10,238,"May 14, 1983",
3995,Tom Sluby,1985,1985,G,6-4,200,"February 18, 1962",Notre Dame
3996,Alen Smailagić,2020,2020,F,6-10,215,"August 18, 2000",
3997,Keith Smart,1989,1989,G,6-1,175,"September 21, 1964",Indiana
3998,Marcus Smart,2015,2021,G,6-3,220,"March 6, 1994",Oklahoma State
3999,Belus Smawley,1947,1952,G-F,6-1,195,"March 20, 1918",Appalachian State University
4000,Jack Smiley,1949,1950,F-G,6-3,190,"December 22, 1922",Illinois
4001,Adrian Smith,1962,1972,G,6-1,180,"October 5, 1936",Kentucky
4002,Al Smith,1972,1976,G,6-1,185,"January 15, 1947",Bradley
4003,Bill Smith,1962,1962,G-F,6-5,190,"April 26, 1939",Saint Peter's College
4004,Bingo Smith,1970,1980,F-G,6-5,195,"February 26, 1946",Tulsa
4005,Bobby Smith,1960,1962,G,6-4,190,"August 20, 1937",West Virginia
4006,Charles Smith,1989,1997,F-C,6-10,230,"July 16, 1965",Pitt
4007,Charles Smith,1990,1996,G,6-1,160,"November 29, 1967",Georgetown
4008,Charles Smith,1998,2006,G,6-4,194,"August 22, 1975",New Mexico
4009,Chris Smith,1993,1995,G,6-3,190,"May 17, 1970",UConn
4010,Chris Smith,2014,2014,G,6-2,200,"October 13, 1987","Manhattan College, Louisville"
4011,Clinton Smith,1987,1991,F,6-6,210,"January 19, 1964","Ohio State, Cleveland State University"
4012,Craig Smith,2007,2012,F,6-7,250,"November 10, 1983",Boston College
4013,Deb Smith,1947,1947,F,6-3,180,"January 7, 1920",Utah
4014,Dennis Smith,2018,2021,G,6-2,205,"November 25, 1997",NC State
4015,Derek Smith,1983,1991,G-F,6-6,205,"November 1, 1961",Louisville
4016,Don Smith,1949,1949,G-F,6-2,190,"July 27, 1920",Minnesota
4017,Don Smith,1975,1975,G,6-0,160,"October 10, 1951",Dayton
4018,Donta Smith,2005,2006,G-F,6-7,215,"November 27, 1983",Southeastern Illinois College
4019,Doug Smith,1992,1996,F,6-10,220,"September 17, 1969",Missouri
4020,Ed Smith,1954,1954,F,6-6,180,"July 5, 1929",Harvard University
4021,Elmore Smith,1972,1979,C,7-0,250,"May 9, 1949",Kentucky State University
4022,Garfield Smith,1971,1973,C-F,6-9,235,"November 18, 1945",Eastern Kentucky University
4023,Greg Smith,1969,1976,F,6-5,195,"January 28, 1947",Western Kentucky
4024,Greg Smith,2012,2016,C,6-10,250,"January 8, 1991",Fresno State
4025,Ish Smith,2011,2021,G,6-0,175,"July 5, 1988",Wake Forest
4026,J.R. Smith,2005,2020,G-F,6-6,225,"September 9, 1985",
4027,Jabari Smith,2001,2005,C,6-11,250,"February 12, 1977",LSU
4028,Jalen Smith,2021,2021,F,6-10,215,"March 16, 2000",Maryland
4029,Jason Smith,2008,2019,F-C,7-0,240,"March 2, 1986",Colorado State
4030,Jerry Smith,2012,2012,G,6-2,190,"September 26, 1987",Louisville
4031,Jim Smith,1982,1983,F,6-9,225,"April 12, 1958",Ohio State
4032,Joe Smith,1996,2011,F,6-10,225,"July 26, 1975",Maryland
4033,John Smith,1969,1970,C,7-0,235,"May 24, 1944",University of Southern Colorado
4034,Josh Smith,2005,2018,F,6-9,225,"December 5, 1985",
4035,Keith Smith,1987,1987,G,6-3,180,"March 9, 1964",Loyola Marymount
4036,Ken Smith,1976,1976,F,6-7,185,"July 12, 1953",Tulsa
4037,Kenny Smith,1988,1997,G,6-3,170,"March 8, 1965",UNC
4038,LaBradford Smith,1992,1994,G,6-3,200,"April 3, 1969",Louisville
4039,Larry Smith,1981,1993,F-C,6-8,215,"January 18, 1958",Alcorn State
4040,Leon Smith,2002,2004,C,6-10,235,"November 2, 1980",
4041,Michael Smith,1990,1995,F,6-10,225,"May 19, 1965",BYU
4042,Michael Smith,1995,2001,F,6-8,230,"March 28, 1972",Providence
4043,Mike Smith,2001,2001,F,6-8,195,"April 15, 1976",Louisiana-Monroe
4044,Nolan Smith,2012,2013,G,6-2,185,"July 25, 1988",Duke
4045,Otis Smith,1987,1992,G-F,6-5,210,"January 30, 1964",Jacksonville University
4046,Pete Smith,1973,1973,F,6-6,205,,Valdosta State University
4047,Phil Smith,1975,1983,G,6-4,185,"April 22, 1952",San Francisco
4048,Randy Smith,1972,1983,G-F,6-3,180,"December 12, 1948",Buffalo State
4049,Reggie Smith,1993,1994,C,6-10,240,"August 21, 1970",TCU
4050,Robert Smith,1978,1985,G,5-11,165,"March 10, 1955",UNLV
4051,Russ Smith,2015,2016,G,6-0,165,"April 19, 1991",Louisville
4052,Sam Smith,1968,1971,F,6-7,230,"January 27, 1944",Kentucky Wesleyan College
4053,Sam Smith,1979,1980,G,6-4,200,"January 8, 1955",UNLV
4054,Steve Smith,1992,2005,G,6-7,200,"March 31, 1969",Michigan State
4055,Steven Smith,2007,2007,F,6-8,235,"April 12, 1983",La Salle
4056,Stevin Smith,1997,1997,G,6-2,208,"January 24, 1972",Arizona State
4057,Theron Smith,2004,2005,F,6-8,225,"October 3, 1980",Ball State University
4058,Tony Smith,1991,2001,G,6-3,185,"June 14, 1968",Marquette
4059,William Smith,1972,1973,C,7-0,220,"February 14, 1949",Syracuse
4060,Willie Smith,1977,1980,G,6-2,170,"October 26, 1953",Missouri
4061,Zhaire Smith,2019,2020,G,6-3,205,"June 4, 1999",Texas Tech
4062,Rik Smits,1989,2000,C,7-4,250,"August 23, 1966",Marist College
4063,Mike Smrek,1986,1992,C,7-0,250,"August 31, 1962",Canisius
4064,Joe Smyth,1954,1954,F,6-3,215,"May 22, 1929",Niagara University
4065,Tony Snell,2014,2021,G-F,6-6,213,"November 10, 1991",New Mexico
4066,Eric Snow,1996,2008,G,6-3,190,"April 24, 1973",Michigan State
4067,Dick Snyder,1967,1979,G-F,6-5,207,"February 1, 1944",Davidson
4068,Kirk Snyder,2005,2008,G,6-6,225,"June 5, 1983",Nevada
4069,Chips Sobek,1950,1950,G-F,6-0,180,"February 10, 1920",Notre Dame
4070,Ricky Sobers,1976,1986,G,6-3,198,"January 15, 1953",UNLV
4071,Ron Sobie,1957,1960,G,6-3,185,"September 21, 1934",DePaul
4072,Mike Sojourner,1975,1977,C-F,6-9,225,"October 16, 1953",Utah
4073,Willie Sojourner,1972,1975,C-F,6-8,225,"September 10, 1948",Weber State
4074,Will Solomon,2002,2009,G,6-1,185,"July 20, 1978",Clemson
4075,Willie Somerset,1966,1969,G,5-8,170,"March 17, 1942",Duquesne
4076,Darius Songaila,2004,2011,F,6-9,248,"February 14, 1978",Wake Forest
4077,Dave Sorenson,1971,1973,F,6-8,225,"July 8, 1948",Ohio State
4078,James Southerland,2014,2014,F,6-8,215,"April 28, 1990",Syracuse
4079,Gino Sovran,1947,1947,F-G,6-2,175,"December 17, 1924",Detroit Mercy
4080,Pape Sow,2005,2007,F,6-10,250,"November 22, 1981",Cal State Fullerton
4081,Ken Spain,1971,1971,C,6-9,225,"October 6, 1946",Houston
4082,Ray Spalding,2019,2021,F,6-10,215,"March 11, 1997",Louisville
4083,Jim Spanarkel,1980,1984,G-F,6-5,190,"June 28, 1957",Duke
4084,Vassilis Spanoulis,2007,2007,G,6-4,195,"August 7, 1982",
4085,Daniel Sparks,1969,1970,F,6-8,200,"April 17, 1945","Vincennes, Weber State"
4086,Guy Sparrow,1958,1960,F,6-6,218,"November 2, 1932",Detroit Mercy
4087,Rory Sparrow,1981,1992,G,6-2,175,"June 12, 1958",Villanova
4088,Odie Spears,1949,1957,G,6-5,205,"June 17, 1924",Western Kentucky
4089,Art Spector,1947,1950,F,6-4,200,"October 17, 1920",Villanova
4090,Marreese Speights,2009,2018,C-F,6-10,255,"August 4, 1987",Florida
4091,Omari Spellman,2019,2020,F,6-8,245,"July 21, 1997",Villanova
4092,Andre Spencer,1993,1994,F,6-6,210,"July 20, 1964",Northern Arizona University
4093,Elmore Spencer,1993,1997,C,7-0,270,"December 6, 1969","Georgia, UNLV"
4094,Felton Spencer,1991,2002,C,7-0,265,"January 15, 1968",Louisville
4095,Lou Spicer,1947,1947,F,6-2,195,"November 12, 1922",Syracuse
4096,Craig Spitzer,1968,1968,C,7-0,225,"December 18, 1945",Tulane
4097,Tiago Splitter,2011,2017,F-C,6-11,245,"January 1, 1985",
4098,Art Spoelstra,1955,1958,C,6-9,220,"September 11, 1932",Western Kentucky
4099,Bruce Spraggins,1968,1968,F,6-5,188,,Virginia Union University
4100,Latrell Sprewell,1993,2005,G,6-5,190,"September 8, 1970",Alabama
4101,Larry Spriggs,1982,1986,F,6-7,230,"September 8, 1959",Howard University
4102,Jim Springer,1949,1949,C,6-9,235,"June 17, 1926",
4103,Jim Spruill,1949,1949,G,6-2,225,"February 26, 1923",Rice University
4104,Ryan Stack,1999,2000,F,6-11,215,"July 24, 1975",South Carolina
4105,Jerry Stackhouse,1996,2013,G-F,6-6,218,"November 5, 1974",UNC
4106,Kevin Stacom,1975,1982,G,6-3,185,"September 4, 1951","Holy Cross, Providence"
4107,Erv Staggs,1970,1970,F-G,6-6,195,"September 1, 1948","North Carolina A&T, Cheyney (PA)"
4108,Bud Stallworth,1973,1977,F-G,6-5,190,"January 18, 1950",Kansas
4109,Dave Stallworth,1966,1975,F-C,6-7,200,"December 20, 1941",Wichita State
4110,Ed Stanczak,1950,1951,F,6-1,185,"August 15, 1921",
4111,Cassius Stanley,2021,2021,G,6-5,190,"August 18, 1999",Duke
4112,Terence Stansbury,1985,1987,G,6-5,170,"February 27, 1961",Temple
4113,John Starks,1989,2002,G,6-3,180,"August 10, 1965",Oklahoma State
4114,Keith Starr,1977,1977,G-F,6-6,190,"March 14, 1954",Pitt
4115,Nik Stauskas,2015,2019,G,6-6,205,"October 7, 1993",Michigan
4116,Larry Staverman,1959,1964,F,6-7,205,"October 11, 1936",Thomas More College
4117,Larry Steele,1972,1980,G-F,6-5,180,"May 5, 1949",Kentucky
4118,Matt Steigenga,1997,1997,F,6-7,225,"March 27, 1970",Michigan State
4119,Vladimir Stepania,1999,2004,C,7-0,236,"May 8, 1976",
4120,D.J. Stephens,2014,2019,G-F,6-5,188,"December 19, 1990",Memphis
4121,Everette Stephens,1989,1991,G,6-2,175,"October 21, 1966",Purdue
4122,Jack Stephens,1956,1956,G-F,6-3,185,"May 18, 1933",Notre Dame
4123,Joe Stephens,1997,2000,F,6-7,210,"January 28, 1973","Colorado, Little Rock"
4124,Lance Stephenson,2011,2019,G-F,6-6,230,"September 5, 1990",Cincinnati
4125,Alex Stepheson,2016,2016,F,6-10,270,"August 7, 1987","UNC, USC"
4126,Brook Steppe,1983,1989,G-F,6-5,195,"November 7, 1959",Georgia Tech
4127,Barry Stevens,1993,1993,G-F,6-5,195,"January 17, 1963",Iowa State
4128,Lamar Stevens,2021,2021,F,6-6,230,"July 9, 1997",Penn State
4129,Wayne Stevens,1960,1960,F,6-3,185,"June 19, 1936",Cincinnati
4130,DeShawn Stevenson,2001,2013,G,6-5,210,"April 3, 1981",
4131,Dennis Stewart,1971,1971,F,6-6,220,"April 11, 1947",Michigan
4132,Isaiah Stewart,2021,2021,F-C,6-8,250,"May 22, 2001",Washington
4133,Kebu Stewart,1998,1998,F,6-8,239,"December 19, 1973","UNLV, Cal State-Bakersfield"
4134,Larry Stewart,1992,1997,F,6-8,220,"September 21, 1968",Coppin State University
4135,Michael Stewart,1998,2005,C,6-10,230,"April 25, 1975",California
4136,Norm Stewart,1957,1957,F,6-5,205,"January 20, 1935",Missouri
4137,Greg Stiemsma,2012,2015,C,6-11,260,"September 26, 1985",Wisconsin
4138,Steve Stipanovich,1984,1988,C,6-11,245,"November 17, 1960",Missouri
4139,Bryant Stith,1993,2002,G,6-5,208,"December 10, 1970",Virginia
4140,Sam Stith,1962,1962,G,6-2,185,"July 22, 1937",St. Bonaventure
4141,Tom Stith,1963,1963,F,6-5,210,"January 21, 1939",St. Bonaventure
4142,Alex Stivrins,1986,1993,F,6-8,220,"November 29, 1962","Creighton, Colorado"
4143,David Stockton,2015,2018,G,5-11,165,"June 24, 1991",Gonzaga
4144,John Stockton*,1985,2003,G,6-1,170,"March 26, 1962",Gonzaga
4145,Peja Stojaković,1999,2011,F,6-10,229,"June 9, 1977",
4146,Ed Stokes,1998,1998,C,7-0,264,"September 3, 1971",Arizona
4147,Greg Stokes,1986,1990,F-C,6-10,220,"August 5, 1963",Iowa
4148,Jarnell Stokes,2015,2017,F-C,6-9,263,"January 7, 1994",Tennessee
4149,Maurice Stokes*,1956,1958,F-C,6-7,232,"June 17, 1933",Saint Francis University
4150,Art Stolkey,1947,1947,G,6-1,180,"October 23, 1920",Detroit Mercy
4151,Randy Stoll,1968,1968,C,6-7,235,,Washington State
4152,Diamond Stone,2017,2017,C,6-11,255,"February 10, 1997",Maryland
4153,George Stone,1969,1972,F,6-7,195,"February 9, 1946",Marshall
4154,Julyan Stone,2012,2018,G,6-6,200,"December 7, 1988",Texas-El Paso
4155,Awvee Storey,2005,2008,G-F,6-6,222,"April 18, 1977","Illinois, Arizona State"
4156,Damon Stoudamire,1996,2008,G,5-10,171,"September 3, 1973",Arizona
4157,Salim Stoudamire,2006,2008,G,6-1,179,"October 11, 1982",Arizona
4158,Amar'e Stoudemire,2003,2016,F-C,6-10,245,"November 16, 1982",
4159,Paul Stovall,1973,1974,F,6-4,215,"August 16, 1948",Arizona State
4160,D.J. Strawberry,2008,2008,G,6-5,201,"June 15, 1985",Maryland
4161,Joe Strawder,1966,1968,C,6-10,235,"September 21, 1940",Bradley
4162,Bill Stricker,1971,1971,F,6-9,210,"January 22, 1948",University of the Pacific
4163,Erick Strickland,1997,2005,G,6-3,210,"November 25, 1973",Nebraska
4164,Mark Strickland,1995,2003,F,6-9,210,"July 14, 1970",Temple
4165,Rod Strickland,1989,2005,G,6-3,175,"July 11, 1966",DePaul
4166,Roger Strickland,1964,1964,F,6-5,200,"September 4, 1940",Jacksonville University
4167,John Stroeder,1988,1989,F,6-10,260,"July 24, 1958",Montana
4168,Derek Strong,1992,2001,F,6-8,220,"February 9, 1968",Xavier
4169,Lamont Strothers,1992,1993,G,6-4,190,"May 10, 1968",Christopher Newport University
4170,John Stroud,1981,1981,F,6-7,215,"October 29, 1957",Ole Miss
4171,Red Stroud,1968,1968,G,6-0,160,"May 2, 1941",Mississippi State
4172,Max Strus,2020,2021,G,6-5,215,"March 28, 1996","Lewis (IL), DePaul"
4173,Rodney Stuckey,2008,2017,G,6-5,210,"April 21, 1986",Eastern Washington
4174,Gene Stump,1948,1950,F-G,6-2,185,"November 13, 1923",DePaul
4175,Stan Stutz,1947,1949,G-F,5-10,170,"April 14, 1920",Rhode Island
4176,Gary Suiter,1971,1971,C-F,6-9,225,"January 18, 1945",Midwestern State University
4177,Jared Sullinger,2013,2017,F,6-9,260,"March 4, 1992",Ohio State
4178,DaJuan Summers,2010,2013,F,6-8,230,"January 24, 1988",Georgetown
4179,Edmond Sumner,2018,2021,G,6-4,196,"December 31, 1995",Xavier
4180,Barry Sumpter,1989,1989,F-C,6-11,215,"November 11, 1965","Louisville, Austin Peay State University"
4181,Don Sunderlage,1954,1955,G,6-1,180,"December 20, 1929",Illinois
4182,Bruno Šundov,1999,2005,C,7-2,220,"February 10, 1980",
4183,Jon Sundvold,1984,1992,G,6-2,170,"July 2, 1961",Missouri
4184,Bob Sura,1996,2005,G,6-5,200,"March 25, 1973",Florida State
4185,Dick Surhoff,1953,1954,F,6-4,210,"November 16, 1929",Long Island University
4186,George Sutor,1968,1970,C,6-8,235,"September 14, 1943",La Salle
4187,Dane Suttle,1984,1985,G,6-3,190,"August 9, 1961",Pepperdine
4188,Greg Sutton,1992,1996,G,6-2,170,"December 3, 1967",Oral Roberts
4189,Keith Swagerty,1969,1970,F,6-7,235,"October 30, 1945",University of the Pacific
4190,Bennie Swain,1959,1959,F,6-8,220,"December 16, 1933",Texas Southern
4191,Caleb Swanigan,2018,2020,F,6-9,260,"April 18, 1997",Purdue
4192,Norm Swanson,1954,1954,F,6-6,210,"October 4, 1930",Detroit Mercy
4193,Dan Swartz,1963,1963,F,6-4,215,"December 23, 1934",Morehead State University
4194,Mike Sweetney,2004,2007,F,6-8,275,"October 25, 1982",Georgetown
4195,Robert Swift,2005,2009,C,7-0,245,"December 3, 1985",
4196,Skeeter Swift,1970,1974,G,6-3,204,"June 19, 1946",East Tennessee State University
4197,Stromile Swift,2001,2009,F,6-9,225,"November 21, 1979",LSU
4198,Aaron Swinson,1995,1995,F,6-5,230,"January 9, 1971",Auburn
4199,Pape Sy,2011,2011,F,6-7,225,"April 5, 1988",
4200,Buck Sydnor,1947,1947,G,5-10,175,"September 19, 1921",Western Kentucky
4201,Larry Sykes,1996,1996,F,6-9,255,"April 11, 1973",Xavier
4202,Brett Szabo,1997,1997,C,6-11,230,"February 1, 1968",Augustana College (SD)
4203,Wally Szczerbiak,2000,2009,F,6-7,244,"March 5, 1977",Miami University
4204,Walt Szczerbiak,1972,1972,F,6-6,210,"August 21, 1949",George Washington
4205,Žan Tabak,1995,2001,C,7-0,245,"June 15, 1970",
4206,Yuta Tabuse,2005,2005,G,5-9,165,"October 5, 1980",Brigham Young University Hawaii
4207,Chris Taft,2006,2006,F,6-10,260,"March 10, 1985",Pitt
4208,Sid Tanenbaum,1948,1949,G,6-0,160,"October 8, 1925",NYU
4209,Dragan Tarlać,2001,2001,C,6-10,260,"May 9, 1973",
4210,Roy Tarpley,1987,1995,C-F,6-11,230,"November 28, 1964",Michigan
4211,Levern Tart,1968,1971,G-F,6-2,195,"June 1, 1942",Bradley
4212,Jae'Sean Tate,2021,2021,F,6-4,230,"October 28, 1995",Ohio State
4213,Earl Tatum,1977,1980,G-F,6-5,185,"July 26, 1953",Marquette
4214,Jayson Tatum,2018,2021,F,6-8,210,"March 3, 1998",Duke
4215,Edy Tavares,2016,2017,C,7-3,260,"March 22, 1992",
4216,Anthony Taylor,1989,1989,G,6-4,175,"November 30, 1965",Oregon
4217,Brian Taylor,1973,1982,G,6-2,185,"June 9, 1951",Princeton
4218,Donell Taylor,2006,2007,G,6-6,180,"July 26, 1982","Okaloosa-Walton Community College, UAB"
4219,Fatty Taylor,1970,1977,G,6-0,175,"March 13, 1946",La Salle
4220,Fred Taylor,1971,1972,G-F,6-5,180,"February 5, 1948",University of Texas-Pan American
4221,Isaiah Taylor,2017,2018,G,6-3,170,"July 11, 1994",Texas
4222,Jay Taylor,1990,1990,G,6-3,190,"October 3, 1967",Eastern Illinois University
4223,Jeff Taylor,1983,1987,G,6-4,175,"January 1, 1960",Texas Tech
4224,Jeffery Taylor,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt
4225,Jermaine Taylor,2010,2011,G,6-4,210,"December 8, 1986",Central Florida
4226,Johnny Taylor,1998,2000,F,6-9,220,"June 4, 1974","Indian Hills Community College, Chattanooga"
4227,Leonard Taylor,1990,1990,F,6-8,220,"May 2, 1966",California
4228,Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976","Michigan, LSU"
4229,Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986",Iowa State
4230,Oliver Taylor,1971,1974,G-F,6-2,194,"March 7, 1947",Houston
4231,Ronald Taylor,1970,1972,C,7-1,265,"November 21, 1947",USC
4232,Tyshawn Taylor,2013,2014,G,6-3,185,"April 12, 1990",Kansas
4233,Vince Taylor,1983,1983,G-F,6-5,180,"September 11, 1960",Duke
4234,Terry Teagle,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor
4235,Jeff Teague,2010,2021,G,6-3,195,"June 10, 1988",Wake Forest
4236,Marquis Teague,2013,2018,G,6-2,189,"February 28, 1993",Kentucky
4237,Mirza Teletović,2013,2018,F,6-9,242,"September 18, 1985",
4238,Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",
4239,Collis Temple,1975,1975,F,6-8,220,"November 8, 1952",LSU
4240,Garrett Temple,2010,2021,G,6-5,195,"May 8, 1986",LSU
4241,Miloš Teodosić,2018,2019,G,6-5,196,"March 19, 1987",
4242,Ira Terrell,1977,1979,F-C,6-8,200,"June 19, 1954",SMU
4243,Jared Terrell,2019,2019,G,6-3,227,"February 10, 1995",Rhode Island
4244,Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State
4245,Chuck Terry,1973,1977,F,6-6,215,"September 27, 1950",Cal State Long Beach
4246,Claude Terry,1973,1978,G-F,6-4,195,"January 12, 1950",Stanford
4247,Emanuel Terry,2019,2019,F,6-9,220,"August 21, 1996",Lincoln Memorial
4248,Jason Terry,2000,2018,G,6-2,185,"September 15, 1977",Arizona
4249,Tyrell Terry,2021,2021,G,6-2,160,"September 28, 2000",Stanford
4250,Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",UConn
4251,Tom Thacker,1964,1971,G-F,6-2,170,"November 2, 1939",Cincinnati
4252,Floyd Theard,1970,1970,G,6-1,170,"September 5, 1944",Kentucky State University
4253,Daniel Theis,2018,2021,C,6-8,245,"April 4, 1992",
4254,Reggie Theus,1979,1991,G,6-7,190,"October 13, 1957",UNLV
4255,Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's
4256,Bill Thieben,1957,1958,F-C,6-7,215,"March 28, 1935",Hofstra
4257,Justus Thigpen,1970,1974,G,6-1,160,"August 13, 1947",Weber State
4258,David Thirdkill,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley
4259,Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",Memphis
4260,Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",Kansas
4261,Brodric Thomas,2021,2021,G,6-5,185,"January 28, 1997",Truman State University
